administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
131336,Comarnic,COMARNIC,普拉霍瓦县,oras,681005,PPLA2,13254,25.633330,45.250000
131256,Câmpina,CÂMPINA,普拉霍瓦县,municipiu,681862,PPLA2,41554,25.734960,45.126190
131407,Mizil,MIZIL,普拉霍瓦县,oras,673033,PPLA2,15532,26.450000,45.016670
130534,Ploieşti,PLOIEŞTI,普拉霍瓦县,municipiu,670474,PPLA,180540,26.016670,44.950000
131443,Plopeni,PLOPENI,普拉霍瓦县,oras,670467,PPLA2,7718,25.952020,45.049550
131540,Sinaia,SINAIA,普拉霍瓦县,oras,667091,PPLA2,11918,25.550000,45.350000
131577,Slănic,SLĂNIC,普拉霍瓦县,oras,666775,PPLA2,6967,25.933330,45.250000
131620,Urlaţi,URLAŢI,普拉霍瓦县,oras,664150,PPLA2,11798,26.233330,44.983330
131817,Vălenii de Munte,VĂLENII DE MUNTE,普拉霍瓦县,oras,663256,PPL,12044,26.033330,45.183330
109924,Baia de Aramă,BAIA DE ARAMĂ,梅赫丁茨县,oras,685836,PPLA2,2145,22.807840,44.999290
109773,Drobeta-Turnu Severin,DROBETA-TURNU SEVERIN,梅赫丁茨县,municipiu,678817,PPLA,79865,22.652880,44.626930
110063,Orşova,ORŞOVA,梅赫丁茨县,municipiu,671681,PPLA2,12350,22.396190,44.722990
110116,Strehaia,STREHAIA,梅赫丁茨县,oras,665997,PPLA2,11607,23.200000,44.616670
110232,Vânju-Mare,VÂNJU MARE,梅赫丁茨县,oras,662805,PPL,6740,22.869720,44.425280
32483,Beclean,BECLEAN,比斯特里察-讷瑟乌德县,oras,685204,PPLA2,10909,24.183330,47.183330
32394,Bistriţa,BISTRIŢA,比斯特里察-讷瑟乌德县,municipiu,684657,PPLA,78877,24.500110,47.133160
32544,Năsăud,NĂSĂUD,比斯特里察-讷瑟乌德县,oras,672497,PPLA2,10380,24.400000,47.283330
32599,Sângeorz-Băi,SÂNGEORZ-BĂI,比斯特里察-讷瑟乌德县,oras,667029,PPLA2,8244,24.672120,47.368500
26699,Aleşd,ALEŞD,比霍尔县,oras,686507,PPLA2,10264,22.399500,47.058110
26804,Beiuş,BEIUŞ,比霍尔县,municipiu,685174,PPLA2,10721,22.350000,46.666670
26877,Marghita,MARGHITA,比霍尔县,municipiu,673816,PPLA2,13871,22.333330,47.350000
26920,Nucet,NUCET,比霍尔县,oras,672142,PPLA2,1500,22.558500,46.487320
26564,Oradea,ORADEA,比霍尔县,municipiu,671768,PPLA,183105,21.918330,47.045800
26975,Salonta,SALONTA,比霍尔县,municipiu,668129,PPLA2,17561,21.650000,46.800000
30915,Săcueni,SĂCUENI,比霍尔县,oras,668297,PPLA2,7075,22.100000,47.350000
32027,Valea lui Mihai,VALEA LUI MIHAI,比霍尔县,oras,663692,PPLA2,10240,22.150000,47.516670
27007,Vaşcău,VAŞCĂU,比霍尔县,oras,663135,PPL,2722,22.466670,46.466670
26840,Ștei,ŞTEI,比霍尔县,oras,679177,PPLA2,6529,22.450000,46.533330
168602,Berbeşti,BERBEŞTI,沃尔恰县,oras,685088,PPLA2,5606,23.883330,44.983330
167794,Brezoi,BREZOI,沃尔恰县,oras,683695,PPLA2,6668,24.248630,45.337970
168372,Băbeni,BĂBENI,沃尔恰县,oras,685981,PPLA2,9350,24.233330,44.966670
167641,Prajila,BĂILE GOVORA,沃尔恰县,oras,669723,PPL,2570,24.169490,45.082700
167696,Livadia,BĂILE OLĂNEŞTI,沃尔恰县,oras,674666,PPLX,1945,24.241920,45.205460
168452,Bălceşti,BĂLCEŞTI,沃尔恰县,oras,685657,PPLA2,5683,23.950000,44.616670
167909,Călimăneşti,CĂLIMĂNEŞTI,沃尔恰县,oras,682972,PPLA2,8485,24.333330,45.233330
167981,Drăgăşani,DRĂGĂŞANI,沃尔恰县,municipiu,678978,PPLA2,20630,24.266670,44.650000
168041,Horezu,HOREZU,沃尔恰县,oras,676026,PPLA2,6743,24.016670,45.150000
168130,Gura Suhașului,OCNELE MARI,沃尔恰县,oras,676483,PPLA2,1513,24.298860,45.088030
167473,Râmnicu Vâlcea,RÂMNICU VÂLCEA,沃尔恰县,municipiu,668872,PPLA,93151,24.366670,45.100000
151790,Alexandria,ALEXANDRIA,泰莱奥尔曼县,municipiu,686502,PPLA,40390,25.333330,43.983330
151870,Roșiorii de Vede,ROŞIORI DE VEDE,泰莱奥尔曼县,municipiu,668605,PPLA2,27416,24.983330,44.116670
151683,Turnu Măgurele,TURNU MĂGURELE,泰莱奥尔曼县,municipiu,664437,PPLA2,28783,24.868460,43.746900
151905,Videle,VIDELE,泰莱奥尔曼县,oras,662976,PPLA2,11813,25.524440,44.278060
151978,Zimnicea,ZIMNICEA,泰莱奥尔曼县,oras,662187,PPLA2,15228,25.364540,43.656380
139740,Cehu Silvaniei,CEHU SILVANIEI,瑟拉日县,oras,682442,PPLA2,0,23.174890,47.411770
139811,Jibou,JIBOU,瑟拉日县,oras,675261,PPLA2,11183,23.256510,47.258960
139704,Zalău,ZALĂU,瑟拉日县,municipiu,662334,PPLA,52359,23.050000,47.200000
139884,Şimleu Silvaniei,ŞIMLEU SILVANIEI,瑟拉日县,oras,667101,PPLA2,15721,22.800000,47.233330
161794,Bârlad,BÂRLAD,瓦斯卢伊县,municipiu,684802,PPLA2,67818,27.669070,46.231750
161829,Huşi,HUŞI,瓦斯卢伊县,municipiu,675892,PPLA2,29129,28.059440,46.673610
164981,Murgeni,MURGENI,瓦斯卢伊县,oras,672615,PPLA2,7665,28.019720,46.204440
161856,Negreşti,NEGREŞTI,瓦斯卢伊县,oras,672375,PPLA2,10043,27.433330,46.833330
161945,Vaslui,VASLUI,瓦斯卢伊县,municipiu,663118,PPLA,63035,27.733330,46.633330
65609,Fieni,FIENI,登博维察县,oras,678290,PPLA2,7566,25.416670,45.133330
65681,Găeşti,GĂEŞTI,登博维察县,oras,677742,PPLA2,15037,25.316670,44.716670
65841,Moreni,MORENI,登博维察县,municipiu,672862,PPLA2,20596,25.644150,44.983010
65921,Pucioasa,PUCIOASA,登博维察县,oras,669517,PPLA2,14971,25.432320,45.078070
68627,Răcari,RĂCARI,登博维察县,oras,669405,PPLA2,6828,25.733330,44.633330
66081,Titu,TITU,登博维察县,oras,664891,PPLA2,10081,25.533330,44.650000
65342,Târgovişte,TÂRGOVIŞTE,登博维察县,municipiu,665024,PPLA,66965,25.456700,44.925430
63447,Baraolt,BARAOLT,科瓦斯纳县,oras,685419,PPLA2,9429,25.600290,46.075140
