administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
20482,Devnya,Девня,瓦尔纳州,official_town,732280,PPL,8171,27.569440,43.222220
21912,Dolni Chiflik,Долни чифлик,瓦尔纳州,official_town,731453,PPL,7169,27.715960,42.992960
24565,Dalgopol,Дългопол,瓦尔纳州,official_town,731822,PPL,5272,27.350000,43.050000
32278,Ignatievo,Игнатиево,瓦尔纳州,official_town,730925,PPL,0,27.775960,43.250070
58503,Provadia,Провадия,瓦尔纳州,official_town,727921,PPL,13755,27.433330,43.183330
70175,Suvorovo,Суворово,瓦尔纳州,official_town,726591,PPL,4563,27.599080,43.330580
05027,Bozhurishte,Божурище,索非亚州,official_town,732954,PPL,4360,23.197330,42.763050
05815,Botevgrad,Ботевград,索非亚州,official_town,733014,PPL,20909,23.792740,42.907990
15309,Godech,Годеч,索非亚州,official_town,731384,PPLA2,5154,23.048520,43.016820
22006,Dolna Banya,Долна баня,索非亚州,official_town,732145,PPL,4990,23.764590,42.310930
23409,Dragoman,Драгоман,索非亚州,official_town,731961,PPLA2,3814,22.931090,42.921910
27303,Elin Pelin,Елин Пелин,索非亚州,official_town,731675,PPLA3,7373,23.600000,42.666670
27632,Etropole,Етрополе,索非亚州,official_town,731626,PPL,11031,23.996360,42.832800
31044,Zlatitsa,Златица,索非亚州,official_town,725283,PPL,5786,24.133330,42.716670
32901,Ihtiman,Ихтиман,索非亚州,official_town,730919,PPL,14154,23.816080,42.438210
38558,Koprivshtitsa,Копривщица,索非亚州,official_town,730159,PPL,2885,24.350000,42.633330
38902,Kostenets,Костенец,索非亚州,official_town,730093,PPL,0,23.866670,42.300000
38978,Kostinbrod,Костинброд,索非亚州,official_town,730084,PPL,12175,23.216670,42.816670
50245,Momin Prohod,Момин проход,索非亚州,official_town,728978,PPLX,0,23.869000,42.334000
56407,Pirdop,Пирдоп,索非亚州,official_town,728251,PPL,8136,24.183330,42.700000
58030,Pravets,Правец,索非亚州,official_town,728011,PPL,4400,23.915250,42.891630
65231,Samokov,Самоков,索非亚州,official_town,727462,PPL,26765,23.558050,42.338550
65869,Svoge,Своге,索非亚州,official_town,726524,PPL,8964,23.350000,42.966670
67372,Slivnitsa,Сливница,索非亚州,official_town,727069,PPLA2,7545,23.037920,42.851820
02659,Bankya,Банкя,索非亚市,official_town,733468,PPL,0,23.144450,42.707420
07140,Buhovo,Бухово,索非亚市,official_town,732825,PPL,3283,23.566670,42.766670
00357,Novi Iskar,Нови Искър,索非亚市,official_town,728737,PPL,0,23.341470,42.801910
68134,Sofia,София,索非亚市,capital,727011,PPLC,1152556,23.324150,42.697510
03616,Belogradchik,Белоградчик,维丁州,official_town,733309,PPLA2,5688,22.683610,43.627220
06224,Bregovo,Брегово,维丁州,official_town,732915,PPLA2,2892,22.638770,44.151910
10971,Vidin,Видин,维丁州,official_town,725905,PPLA,34797,22.882360,43.991590
17645,Gramada,Грамада,维丁州,official_town,731056,PPLA2,1872,22.652790,43.837380
21097,Dimovo,Димово,维丁州,official_town,732253,PPLA2,1461,22.726940,43.741670
24061,Dunavtsi,Дунавци,维丁州,official_town,725912,PPLX,0,22.814810,43.913500
40525,Kula,Кула,维丁州,official_town,729825,PPLA2,3738,22.522410,43.887900
58222,Veliki Preslav,Велики Преслав,舒门州,official_town,727987,PPL,9425,26.816670,43.166670
12766,Varbitsa,Върбица,舒门州,official_town,725649,PPL,3803,26.633330,43.000000
36079,Kaolinovo,Каолиново,舒门州,official_town,730651,PPL,1537,27.116670,43.616670
36587,Kaspichan,Каспичан,舒门州,official_town,730542,PPLA3,3635,27.166670,43.316670
52009,Novi Pazar,Нови пазар,舒门州,official_town,728734,PPL,13276,27.200000,43.350000
56770,Pliska,Плиска,舒门州,official_town,728199,PPL,1263,27.116670,43.366670
67708,Smyadovo,Смядово,舒门州,official_town,727025,PPL,4231,27.016670,43.066670
83510,Shumen,Шумен,舒门州,official_town,727233,PPLA,72342,26.922860,43.270640
03928,Berkovitsa,Берковица,蒙塔纳州,official_town,733264,PPLA2,15027,23.125090,43.237410
05236,Boychinovtsi,Бойчиновци,蒙塔纳州,official_town,732986,PPLA2,2181,23.334990,43.470580
06570,Brusartsi,Брусарци,蒙塔纳州,official_town,732862,PPLA2,1734,23.066920,43.663250
