geonameid,name,asciiname,country_code,admin1_code,admin2_code,admin3_code,admin4_code,feature_class,feature_code,population,latitude,longitude,timezone,geonames_modified_at,in_cities15000,in_cities5000,in_cities1000,in_cities500,assigned_phase
1804712,Koutou,Koutou,CN,10,1301,,,P,PPLA4,0,38.60448,114.38385,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804714,Koujiahe,Koujiahe,CN,26,6103,,,P,PPLA4,0,34.71882,107.06445,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804720,Kou’an,Kou'an,CN,04,3212,,,P,PPLA3,0,32.3082,119.87568,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1804730,Kongtan,Kongtan,CN,32,5115,,,P,PPL,47125,29.14408,104.67474,Asia/Shanghai,2021-10-19,true,true,true,true,cities15000
1804732,Konglong,Konglong,CN,12,4211,,,P,PPLA4,0,29.88668,115.90323,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804733,Huzhuang,Huzhuang,CN,04,3212,,,P,PPLA4,0,32.35184,120.02144,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804734,Kongwan,Kongwan,CN,12,4206,,,P,PPLA4,0,31.57096,112.26634,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804745,Kocê,Koce,CN,15,6230,,,P,PPL,3729,34.63639,102.22111,Asia/Shanghai,2021-11-24,false,false,true,true,cities1000
1804748,Ketian,Ketian,CN,18,5206,,,P,PPLA4,0,28.89085,108.25077,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804751,Kesha,Kesha,CN,11,4331,,,P,PPLA4,0,29.0958,109.94757,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804756,Kengzikou,Kengzikou,CN,07,3505,,,P,PPLA4,0,25.42214,118.01737,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804758,Kengyuan,Kengyuan,CN,07,3501,,,P,PPLA4,3560,26.33964,119.76476,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1804761,Kengtian,Kengtian,CN,03,3608,,,P,PPLA4,0,27.345,115.37873,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804768,Kengdi,Kengdi,CN,07,3509,,,P,PPLA4,0,27.58761,119.51489,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804771,Kelu,Kelu,CN,30,4408,,,P,PPLA4,0,21.08694,110.01711,Asia/Shanghai,2024-07-13,false,false,false,true,cities500
1804775,Lanyi,Lanyi,CN,24,1409,,,P,PPLA3,0,38.71983,111.59783,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1804781,Kefang,Kefang,CN,07,3504,,,P,PPLA4,0,26.7174,116.58694,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804784,Kedian,Kedian,CN,12,4208,,,P,PPLA4,0,31.36053,112.86747,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804804,Kanshi,Kanshi,CN,07,3508,,,P,PPLA4,0,24.91861,116.88833,Asia/Shanghai,2024-07-13,false,false,false,true,cities500
1804805,Kanshan,Kanshan,CN,02,3301,,,P,PPLA4,0,30.19397,120.40714,Asia/Shanghai,2021-09-19,false,false,false,true,cities500
1804819,Kangshan,Kangshan,CN,03,3611,,,P,PPLA4,0,28.88122,116.43113,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804822,Kangmei,Kangmei,CN,07,3505,,,P,PPLA4,0,25.03997,118.47067,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804823,Ganglong,Ganglong,CN,06,6326,,,P,PPLA4,0,33.76228,100.25645,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1804825,Fucheng,Fucheng,CN,15,6229,,,P,PPLA3,0,35.3725,103.70556,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1804826,Kangle,Kangle,CN,03,3609,,,P,PPLA3,0,28.09557,114.45007,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1804850,Kaiyuan,Kaiyuan,CN,29,5325,,,P,PPL,198423,23.69767,103.30372,Asia/Shanghai,2021-09-20,true,true,true,true,cities15000
